id,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,PERIOD,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV
1,Abia,10,19,1,30,146,31,177,279,Q4 2020,Abia,Q4 2020,19.0,0,4,0,3,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
2,Adamawa,14,63,0,77,234,36,270,443,Q4 2020,Adamawa,Q4 2020,57.0,0,3,2,0,1.0,0.0,17.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0
3,Akwa Ibom,6,13,3,22,28,7,35,89,Q4 2020,Akwa Ibom,Q4 2020,15.0,0,0,0,2,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,Anambra,14,41,17,72,152,20,172,526,Q4 2020,Anambra,Q4 2020,43.0,0,3,0,9,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,6.0
5,Bauchi,45,108,1,154,685,90,775,1182,Q4 2020,Bauchi,Q4 2020,74.0,0,11,3,0,5.0,2.0,21.0,7.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,8.0
6,Bayelsa,0,1,0,1,3,0,3,3,Q4 2020,Bayelsa,Q4 2020,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Benue,10,43,24,77,177,25,202,254,Q4 2020,Benue,Q4 2020,81.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Borno,8,17,0,25,67,16,83,118,Q4 2020,Borno,Q4 2020,11.0,0,4,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Cross River,9,19,5,33,65,11,76,164,Q4 2020,Cross River,Q4 2020,23.0,0,1,2,1,1.0,0.0,2.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
10,Delta,25,36,6,67,182,36,218,407,Q4 2020,Delta,Q4 2020,70.0,0,10,0,4,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0
11,Ebonyi,10,16,1,27,82,11,93,200,Q4 2020,Ebonyi,Q4 2020,9.0,0,8,0,0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
12,Edo,20,29,6,55,118,32,150,311,Q4 2020,Edo,Q4 2020,77.0,0,9,2,2,2.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Ekiti,8,20,2,30,71,9,80,185,Q4 2020,Ekiti,Q4 2020,23.0,0,1,0,4,0.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0
14,Enugu,9,24,11,44,116,30,146,387,Q4 2020,Enugu,Q4 2020,10.0,0,0,1,10,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0
15,FCT,71,182,59,312,572,90,662,1543,Q4 2020,FCT,Q4 2020,284.0,1,18,4,7,1.0,4.0,13.0,18.0,0.0,18.0,2.0,0.0,1.0,0.0,2.0,91.0
16,Gombe,18,50,2,70,231,26,257,459,Q4 2020,Gombe,Q4 2020,59.0,1,2,1,1,0.0,0.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
17,Imo,9,20,2,31,91,15,106,230,Q4 2020,Imo,Q4 2020,11.0,0,3,0,1,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
18,Jigawa,27,61,4,92,318,64,382,628,Q4 2020,Jigawa,Q4 2020,118.0,1,11,2,0,12.0,0.0,7.0,1.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,6.0
19,Kaduna,93,175,13,281,1010,224,1234,2234,Q4 2020,Kaduna,Q4 2020,194.0,1,13,0,5,3.0,4.0,15.0,13.0,8.0,22.0,2.0,2.0,0.0,0.0,0.0,35.0
20,Kano,54,46,2,102,499,194,693,1013,Q4 2020,Kano,Q4 2020,90.0,0,4,0,2,0.0,2.0,7.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0
21,Katsina,19,54,4,77,277,39,316,421,Q4 2020,Katsina,Q4 2020,80.0,0,1,2,3,0.0,0.0,4.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0
22,Kebbi,21,33,4,58,222,56,278,387,Q4 2020,Kebbi,Q4 2020,45.0,0,3,2,0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
23,Kogi,23,82,17,122,335,55,390,851,Q4 2020,Kogi,Q4 2020,91.0,0,8,4,8,1.0,0.0,16.0,8.0,2.0,6.0,6.0,0.0,1.0,0.0,1.0,26.0
24,Kwara,26,64,12,102,313,60,373,694,Q4 2020,Kwara,Q4 2020,105.0,1,5,3,5,0.0,0.0,18.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25,Lagos,14,61,38,113,181,21,202,602,Q4 2020,Lagos,Q4 2020,46.0,0,3,12,23,0.0,0.0,4.0,6.0,6.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0
26,Nasarawa,42,112,46,200,513,65,578,961,Q4 2020,Nasarawa,Q4 2020,114.0,0,6,4,1,0.0,0.0,12.0,52.0,5.0,14.0,2.0,0.0,0.0,0.0,0.0,32.0
27,Niger,27,80,3,110,347,91,438,653,Q4 2020,Niger,Q4 2020,102.0,0,1,1,4,0.0,0.0,4.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,4.0
28,Ogun,59,160,60,279,548,83,631,1678,Q4 2020,Ogun,Q4 2020,254.0,0,22,10,28,4.0,1.0,12.0,20.0,1.0,13.0,6.0,0.0,0.0,0.0,0.0,2.0
29,Ondo,49,56,9,114,320,84,404,899,Q4 2020,Ondo,Q4 2020,107.0,0,7,3,3,0.0,0.0,14.0,13.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0
30,Osun,34,65,10,109,292,52,344,711,Q4 2020,Osun,Q4 2020,93.0,0,11,5,3,2.0,0.0,8.0,10.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
31,Oyo,41,89,25,155,385,68,453,1120,Q4 2020,Oyo,Q4 2020,128.0,1,15,5,14,1.0,0.0,14.0,18.0,1.0,6.0,0.0,2.0,0.0,0.0,4.0,0.0
32,Plateau,8,20,17,45,123,17,140,255,Q4 2020,Plateau,Q4 2020,18.0,0,2,3,9,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
33,Rivers,3,18,4,25,77,6,83,194,Q4 2020,Rivers,Q4 2020,19.0,0,2,1,3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
34,Sokoto,12,20,0,32,138,47,185,228,Q4 2020,Sokoto,Q4 2020,49.0,0,0,0,0,2.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
35,Taraba,5,53,1,59,149,7,156,284,Q4 2020,Taraba,Q4 2020,57.0,0,2,1,0,1.0,0.0,4.0,7.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,12.0
36,Yobe,24,30,2,56,383,60,443,602,Q4 2020,Yobe,Q4 2020,28.0,0,9,1,0,2.0,0.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
